RegionID,SizeRank,RegionName,STATE,RegionType,StateName,3/31/2018,3/31/2019,3/31/2020,3/31/2021,3/31/2022,3/31/2023
394955,479,Palatka, FL,msa,FL,186303,207201,224335,260104,309286,321551
394626,480,Gallup, NM,msa,NM,208463,219633,231289,248846,268475,271210
394683,481,Hobbs, NM,msa,NM,222959,240758,248483,259257,248687,243079
395088,482,Shawnee, OK,msa,OK,196870,0,194043,226042,267144,271722
394884,484,Mount Airy, NC,msa,NC,218267,231511,239596,274091,308879,310494
395132,485,Stevens Point, WI,msa,WI,264238,274974,285989,306903,344072,356293
394647,486,Greeneville, TN,msa,TN,179719,197190,214580,245858,300421,300209
394655,488,Greenwood, SC,msa,SC,179556,188761,199603,225844,260239,273747
394764,489,Lake City, FL,msa,FL,228631,234552,254581,292369,356802,373205
394752,490,Klamath Falls, OR,msa,OR,270055,288350,304468,352764,422874,430657
394877,491,Morehead City, NC,msa,NC,432883,454082,470584,551905,686014,721773
394472,492,Clearlake, CA,msa,CA,373993,396494,392524,443581,502606,471032
394305,493,Alamogordo, NM,msa,NM,219065,229037,241642,267966,313974,328729
395027,494,Roanoke Rapids, NC,msa,NC,144954,141198,143028,171870,191382,205543
394587,495,Farmington, MO,msa,MO,192081,199865,207478,238630,277361,286814
394897,496,Muskogee, OK,msa,OK,166350,168567,177352,198881,231379,240232
394826,497,Marion, IN,msa,IN,148146,155842,160846,176125,198171,205707
394586,498,Faribault, MN,msa,MN,318564,332481,348360,390203,438791,447850
395021,499,Richmond, IN,msa,IN,166277,171302,177356,199171,225614,238739
394829,500,Marquette, MI,msa,MI,217203,224299,236796,263428,304322,324367
394922,501,North Wilkesboro, NC,msa,NC,217583,226010,243776,277884,319097,343122
394885,502,Mount Pleasant, MI,msa,MI,189032,192760,202124,221394,255658,266733
395024,503,Rio Grande City, TX,msa,TX,118771,115808,119820,133705,143549,144180
394827,504,Marion, OH,msa,OH,162233,180840,188633,216110,244645,256093
394360,505,Baraboo, WI,msa,WI,293737,309650,322987,355467,390837,409523
395016,506,Red Bluff, CA,msa,CA,332065,347182,368635,416430,468035,442268
394825,507,Marinette, WI,msa,WI,155210,160137,167456,188225,220653,233008
395040,509,Roswell, NM,msa,NM,200604,206903,224338,237260,265620,263255
395092,510,Shelton, WA,msa,WA,377854,415779,442713,544695,654542,630575
394540,511,Dublin, GA,msa,GA,173891,179771,189694,210689,240797,250252
394899,512,Nacogdoches, TX,msa,TX,217426,220505,235618,255120,299419,323148
395105,513,Somerset, KY,msa,KY,169737,179053,190077,210791,246754,257753
394496,514,Coos Bay, OR,msa,OR,324991,346780,368030,424011,502230,505445
394600,515,Forest City, NC,msa,NC,218396,236076,247380,286503,348099,372507
394836,516,Martinsville, VA,msa,VA,123475,124673,130387,144636,166882,184218
395020,517,Rexburg, ID,msa,ID,337256,366518,397505,498828,646101,623170
394787,518,Lewiston, ID,msa,ID,296173,312182,330146,385402,458795,462047
394759,519,Laconia, NH,msa,NH,414135,445668,471454,567237,710061,734477
394629,520,Georgetown, SC,msa,SC,447179,466711,482500,540338,651441,708461
394343,521,Athens, OH,msa,OH,195009,207043,211948,232785,252916,260394
395063,522,Sanford, NC,msa,NC,228131,234533,251122,287305,341784,373173
394570,523,Enid, OK,msa,OK,184197,181359,181537,200977,221533,227143
394889,524,Mount Vernon, OH,msa,OH,250050,264532,277534,319712,360901,379997
395199,525,Walla Walla, WA,msa,WA,364782,390883,411616,468929,571155,580417
394309,526,Albemarle, NC,msa,NC,245645,259909,271504,319111,373186,396682
394701,527,Hutchinson, KS,msa,KS,175456,180580,179486,200595,229197,239461
394693,528,Hudson, NY,msa,NY,409653,419718,435941,532386,648203,662183
395124,529,Starkville, MS,msa,MS,272687,280009,281303,297293,332058,337719
394443,530,Carlsbad, NM,msa,NM,258588,276323,303182,333929,332593,313427
394631,531,Gillette, WY,msa,WY,362380,355063,370877,401025,427055,446919
395136,532,Sturgis, MI,msa,MI,204078,216163,227112,257756,294403,303478
395044,533,Rutland, VT,msa,VT,288269,289733,296813,340649,396841,417357
